filepath,xmin,xmax,ymin,ymax
/Users/asik/Desktop/ANPR/images/N517.xml,175,290,228,255
/Users/asik/Desktop/ANPR/images/N271.xml,262,318,141,160
/Users/asik/Desktop/ANPR/images/N265.xml,87,216,166,212
/Users/asik/Desktop/ANPR/images/N503.xml,66,174,302,332
/Users/asik/Desktop/ANPR/images/N259.xml,324,475,166,205
/Users/asik/Desktop/ANPR/images/N107.xml,141,311,113,164
/Users/asik/Desktop/ANPR/images/N113.xml,151,306,113,180
/Users/asik/Desktop/ANPR/images/N76.xml,6,470,114,233
/Users/asik/Desktop/ANPR/images/N62.xml,156,243,110,159
/Users/asik/Desktop/ANPR/images/N488.xml,19,94,249,314
/Users/asik/Desktop/ANPR/images/N463.xml,97,229,338,378
/Users/asik/Desktop/ANPR/images/N305.xml,361,434,167,183
/Users/asik/Desktop/ANPR/images/N311.xml,295,355,166,185
/Users/asik/Desktop/ANPR/images/N477.xml,383,491,212,248
/Users/asik/Desktop/ANPR/images/N339.xml,209,283,135,169
/Users/asik/Desktop/ANPR/images/N88.xml,168,242,148,171
/Users/asik/Desktop/ANPR/images/N310.xml,241,348,369,417
/Users/asik/Desktop/ANPR/images/N476.xml,101,397,223,291
/Users/asik/Desktop/ANPR/images/N462.xml,576,902,487,596
/Users/asik/Desktop/ANPR/images/N304.xml,143,222,114,156
/Users/asik/Desktop/ANPR/images/N489.xml,1024,1273,611,680
/Users/asik/Desktop/ANPR/images/N63.xml,54,91,201,226
/Users/asik/Desktop/ANPR/images/N77.xml,229,309,151,178
/Users/asik/Desktop/ANPR/images/N112.xml,49,164,135,191
/Users/asik/Desktop/ANPR/images/N258.xml,158,230,184,232
/Users/asik/Desktop/ANPR/images/N264.xml,222,295,300,337
/Users/asik/Desktop/ANPR/images/N502.xml,248,372,116,144
/Users/asik/Desktop/ANPR/images/N516.xml,137,352,141,186
/Users/asik/Desktop/ANPR/images/N270.xml,75,125,173,195
/Users/asik/Desktop/ANPR/images/N299.xml,101,270,136,176
/Users/asik/Desktop/ANPR/images/N500.xml,146,302,160,196
/Users/asik/Desktop/ANPR/images/N272.xml,170,316,81,121
